"","logFC","AveExpr","t","P.Value","adj.P.Val","B","threshold"
"C11orf68",-0.000915459858221723,8.80938483556546,-0.0257837708470658,0.979492957396686,0.991452519006938,-6.35074798710836,"No"
"RNF34",0.000901179815787856,9.05915083753237,0.0257389925161176,0.979528563736432,0.991452519006938,-6.35074911998705,"No"
"MIR331",-0.00131482329626653,5.78229541810897,-0.0257134342612793,0.979548886886489,0.991452519006938,-6.35074976572069,"No"
"DMRT1",-0.000927434522839832,6.22645071904484,-0.0255862492035531,0.979650020792585,0.991504256212162,-6.35075296953373,"No"
"UQCC5",0.00106304323206796,6.80405177343742,0.0252881084117183,0.979887095092784,0.991693566448372,-6.35076041748431,"No"
"ANKRD18B",0.00211313494693322,8.28407555146379,0.0250561656345355,0.980071531595595,0.991781423649173,-6.35076615134922,"No"
"GPR135",-0.000810541208215554,8.98235466366706,-0.0250530991316021,0.980073970027929,0.991781423649173,-6.35076622680247,"No"
"VAMP4",0.00134099257203069,9.36326564284885,0.0248197076236322,0.980259559643595,0.991912004575956,-6.35077194245008,"No"
"MARK2",0.00122073831271408,8.96440564487265,0.0247649699826419,0.980303086396991,0.991912004575956,-6.35077327520471,"No"
"KLHL20",-0.000747626910627019,8.92811484098487,-0.0246525986289678,0.980392443014286,0.991930650157766,-6.35077600200689,"No"
"SELENOO",-0.000794242946048129,9.28012444758539,-0.0246159414286944,0.980421592520865,0.991930650157766,-6.35077688884766,"No"
"PLA2G5",-0.00240475267996842,7.90236461799688,-0.024374362161955,0.980613695046875,0.992057739085026,-6.35078270032428,"No"
"GARIN1B",-0.000987386535565626,6.56858137426312,-0.0243321042096551,0.980647298459925,0.992057739085026,-6.35078371099996,"No"
"SAT2",0.000993469009294756,9.01808348077354,0.0238264083699814,0.981049429164346,0.99220826183782,-6.35079566957028,"No"
"SLC25A46",0.000951716472021857,10.2763771180654,0.023819696972404,0.981054766119127,0.99220826183782,-6.3507958265911,"No"
"CT75",0.000776783633710032,7.42990747272448,0.023817150039912,0.981056791459588,0.99220826183782,-6.35079588616793,"No"
"SPSB1",-0.00126474384469866,7.2824830658446,-0.0237540335970531,0.98110698218389,0.99220826183782,-6.35079736052734,"No"
"EGFL6",0.000998663306545744,6.17663308460279,0.0237428964673203,0.981115838530699,0.99220826183782,-6.35079762027743,"No"
"ADH5",-0.000979937311834433,9.28317981262113,-0.0237335131305552,0.981123300247237,0.99220826183782,-6.35079783902947,"No"
"GAGE1",0.00161514080208214,4.35878169086245,0.0237043844812716,0.981146463630376,0.99220826183782,-6.35079851754953,"No"
"SRGN",0.00344850523759987,10.5052213630536,0.0236327301537809,0.981203443912257,0.992215266473125,-6.35080018311278,"No"
"MSN",0.00236089650293181,9.91288296864678,0.0233637864967993,0.981417311632201,0.99238091045119,-6.35080638957254,"No"
"NUP160",-0.000947959823458078,7.94313615278775,-0.0232874740203662,0.981477996618562,0.99239165146492,-6.35080813771146,"No"
"FTCD",0.000868555026274365,8.16005944241387,0.0231015528212714,0.981625844791985,0.992490519295702,-6.35081237278758,"No"
"LMBRD2",0.00152790867471353,9.99045129274191,0.0227216268473673,0.981927971349677,0.992670347495506,-6.35082092151215,"No"
"PGAM2",0.000985703079184219,8.04369838750281,0.0227085582741899,0.981938363850428,0.992670347495506,-6.35082121304658,"No"
"SPANXA1",-0.00100066769855012,6.26709003581024,-0.0226304172956334,0.982000503842134,0.992670347495506,-6.35082295271999,"No"
"TMT1B",0.00223878621012297,7.61446047577864,0.0225748033489588,0.98204472974697,0.992670347495506,-6.35082418721548,"No"
"OFD1",-0.00112232660841638,7.57228602870419,-0.0225630354892473,0.982054087914764,0.992670347495506,-6.35082444804422,"No"
"ANXA1",-0.00369514858415698,9.85396169747203,-0.0223649460153264,0.982211615197648,0.99277895411294,-6.35082881818609,"No"
"NTPCR",0.000836230067482902,8.69699195581696,0.0222464072686964,0.982305881456783,0.992823611284241,-6.35083141489338,"No"
"APOM",-0.000754762779632046,6.60225140996901,-0.0220190247826575,0.982486704861055,0.992955743370077,-6.35083635730633,"No"
"ZNF451",0.000964365297511094,8.98951165734632,0.0218018911582278,0.982659378827179,0.993079626127514,-6.35084102955445,"No"
"WASHC2A",0.000496277572629822,9.83641946223493,0.0216885023818472,0.982749550772255,0.993120123621453,-6.35084345103403,"No"
"CCDC24",0.000722552943270394,7.84328342549154,0.02161179520383,0.982810551958668,0.993131139902976,-6.35084508199779,"No"
"C1orf210",0.000852033878955716,7.15388675586786,0.021443857563114,0.982944104293252,0.993142995428765,-6.3508486325482,"No"
"ARHGAP24",-0.00121055514136881,7.77627293776071,-0.021437806897298,0.982948916091678,0.993142995428765,-6.35084875995491,"No"
"HSF2",0.000958955410746754,8.55195769664762,0.0214053865972194,0.98297469838056,0.993142995428765,-6.35084944200511,"No"
"OSGIN1",0.000794307266935412,7.87076718024558,0.0213193953264388,0.983043083146312,0.993142995428765,-6.35085124606819,"No"
"ARL6",0.00144890506885176,7.98097205215476,0.0212648387024573,0.983086469499116,0.993142995428765,-6.35085238687955,"No"
"PPIC",-0.00108020302051237,6.33427045004046,-0.0212190445305934,0.98312288751948,0.993142995428765,-6.3508533422063,"No"
"PAGE3",-0.000908234292761989,4.81381176489059,-0.0210290041500762,0.983274018365518,0.993200637434644,-6.35085728469173,"No"
"NOL12",0.000595273640353611,8.30774962820785,0.0210200069028426,0.983281173499977,0.993200637434644,-6.35085747046491,"No"
"UBQLN3",0.00082883435135539,5.97455271748191,0.0209582851061529,0.983330258300576,0.993200637434644,-6.35085874273965,"No"
"AMOT",-0.00117369390174282,9.47606703992925,-0.0208732195838802,0.983397907509149,0.993218358412078,-6.35086049006856,"No"
"OR1L4",-0.000952377174216146,5.47252609022771,-0.0206844091558985,0.983548061326802,0.99331940185863,-6.35086434302737,"No"
"TNFRSF17",-0.00104690975821153,4.72456280094573,-0.0205843398590869,0.983627642908261,0.993349165284551,-6.35086637089599,"No"
"TCF7",-0.000818699298379855,6.75065011259987,-0.0203722742347647,0.98379629176538,0.993463988639288,-6.35087063582709,"No"
"NOX3",0.000701188568250188,5.905314849991,0.0203153322418266,0.983841575996462,0.993463988639288,-6.35087177348721,"No"
"SLC9A3",0.000741757187346259,6.76060862403567,0.0202306180245554,0.983908946728993,0.99348141050371,-6.35087346012386,"No"
"KDELR2",-0.000842244964971428,9.14203803081005,-0.0199995964602003,0.984092671996371,0.99361631115897,-6.35087802388228,"No"
"DDRGK1",0.000904744674372182,9.24669033029021,0.0198954044586607,0.984175533388503,0.993649363265779,-6.35088006501234,"No"
"GJA1",0.00234353143364352,10.6845955037617,0.0198074647289147,0.984245469875228,0.993658071627934,-6.35088177946247,"No"
"ZNF317",0.000526343659570827,8.17294773100258,0.0197584983735371,0.984284411768456,0.993658071627934,-6.35088273080601,"No"
"ATAD3A",0.00069532610858225,8.79792099276808,0.0196943166085742,0.984335454208649,0.9936589962203,-6.35088397419643,"No"
"POLDIP2",-0.000571627513824779,10.2771435852053,-0.0195378560925732,0.984459884318546,0.993706167133223,-6.35088698834744,"No"
"ANKRD13C",0.000786839841454778,9.39161390456181,0.0195094937300133,0.984482440414133,0.993706167133223,-6.35088753216331,"No"
"MAP3K4",-0.000719341514397343,9.31288262213026,-0.0190567791482385,0.984842478176023,0.994018963588763,-6.3508961055046,"No"
"MAGEA6",-0.000994887964114177,7.02415699286093,-0.0186629965334569,0.985155650704126,0.994233148196739,-6.35090339913393,"No"
"PRRT3",-0.000681874503284163,7.61645274452328,-0.0186399850803716,0.985173951622523,0.994233148196739,-6.35090382064179,"No"
"RELT",-0.000735349209884717,8.06559667840667,-0.018600753833671,0.98520515209749,0.994233148196739,-6.35090453805357,"No"
"CCDC117",-0.000743527488267226,7.82183225450405,-0.0184393043057656,0.985333552591327,0.994312106140189,-6.35090747453026,"No"
"TMEM115",0.000574649433923824,8.97206824342251,0.0182689126120104,0.985469065191801,0.994398232593386,-6.35091054588416,"No"
"LIPM",-0.000793558708317654,5.31681180047893,-0.0180447088650598,0.985647375195439,0.994487483152058,-6.35091454377214,"No"
"MIR128-2",0.000989893616010207,5.74131632895925,0.0180315367373525,0.985657851056272,0.994487483152058,-6.3509147771155,"No"
"ACYP1",0.000699378535901296,7.72249167692911,0.0179086620102064,0.985755574079091,0.994535461368578,-6.35091694562471,"No"
"FAM86C1P",-0.000531395416705216,7.58997684042667,-0.0177459600518605,0.985884972277439,0.994556706377839,-6.35091979419457,"No"
"CTNNBL1",-0.000410119163570144,8.23877329018791,-0.0177130976404399,0.985911108068073,0.994556706377839,-6.35092036639067,"No"
"RASSF7",0.000674708522410583,8.04178977622598,0.0176346609666226,0.985973489568397,0.994556706377839,-6.35092172783328,"No"
"ZNF638",-0.000663373529407707,9.57053985769915,-0.0176298460056457,0.985977318959657,0.994556706377839,-6.35092181121078,"No"
"NEMF",-0.000565306549468403,9.42662662104504,-0.0174146970215249,0.986148429640351,0.994633922926349,-6.35092551356542,"No"
"GOLT1B",0.0013117007836847,8.36227544739396,0.0174074152763927,0.98615422091482,0.994633922926349,-6.35092563807677,"No"
"RPLP1",-0.000931380513240043,9.61313938092602,-0.0172235163300195,0.986300478582666,0.994646565050229,-6.3509287653208,"No"
"MFAP5",-0.00144517470221484,6.14891610163621,-0.0172024960264211,0.986317196384219,0.994646565050229,-6.35092912066079,"No"
"LRRD1",0.000789231257545708,5.5765790521564,0.0171050098972584,0.986394728824839,0.994646565050229,-6.35093076295272,"No"
"MUC1",-0.000969188909708762,7.79415684616146,-0.0170978210886939,0.986400446216472,0.994646565050229,-6.35093088368888,"No"
"STOML1",-0.000548618388839017,8.50636000831041,-0.0170586249880924,0.986431619608487,0.994646565050229,-6.35093154109531,"No"
"CSF3",-0.00085895823382387,8.54912093641255,-0.0170131162386381,0.986467813594688,0.994646565050229,-6.35093230248613,"No"
"PPIL4",-0.000871669698652155,8.70438461699222,-0.016929267006524,0.986534500580475,0.994653768884772,-6.35093370001196,"No"
"IL20RA",-0.000915602125330039,6.60428424624741,-0.0168779529913987,0.986575311699157,0.994653768884772,-6.35093455186346,"No"
"NCR3",0.000663381266427621,6.83983389343253,0.0167052036243337,0.986712703177224,0.994741693285975,-6.35093740062721,"No"
